design_id,ipsae_min,iptm,plddt,pae,interface_area,ca_rmsd,hotspot_contact_rate,shape_complementarity,binder_length
egfr_0079,0.405,0.721,0.802,12.1,968.0,2.17,0.214,0.497,110
egfr_0495,0.42,0.739,0.818,13.9,892.0,1.08,0.293,0.524,97
egfr_0183,0.569,0.489,0.507,22.4,535.0,3.49,0.073,0.265,84
egfr_0340,0.501,0.353,0.875,17.5,1152.0,0.58,0.251,0.487,78
egfr_0031,0.162,0.844,0.843,14.9,1193.0,0.86,0.269,0.595,95
egfr_0487,0.33,0.668,0.859,13.7,916.0,1.62,0.262,0.461,100
egfr_0174,0.521,0.481,0.476,21.9,504.0,4.06,0.1,0.305,77
egfr_0460,0.332,0.633,0.784,11.3,911.0,0.94,0.272,0.495,102
egfr_0468,0.297,0.646,0.853,12.8,909.0,1.22,0.243,0.48,105
egfr_0427,0.253,0.801,0.852,14.3,1142.0,0.74,0.118,0.569,80
egfr_0081,0.429,0.669,0.852,13.5,891.0,2.17,0.193,0.533,101
egfr_0402,0.388,0.662,0.811,13.4,780.0,1.49,0.163,0.649,63
egfr_0046,0.209,0.852,0.892,6.8,1103.0,1.49,0.273,0.597,87
egfr_0426,0.279,0.791,0.814,6.5,1101.0,1.09,0.137,0.588,81
egfr_0080,0.354,0.759,0.844,10.4,972.0,1.51,0.257,0.574,102
egfr_0306,0.52,0.358,0.85,20.9,983.0,0.84,0.276,0.418,74
egfr_0244,0.511,0.555,0.733,22.9,932.0,2.86,0.108,0.32,85
egfr_0298,0.467,0.362,0.907,19.3,1166.0,1.34,0.248,0.543,75
egfr_0380,0.373,0.696,0.834,12.9,699.0,0.91,0.268,0.594,54
egfr_0439,0.283,0.728,0.867,10.7,1140.0,1.32,0.065,0.685,89
egfr_0125,0.33,0.74,0.843,12.7,972.0,1.58,0.297,0.597,102
egfr_0500,0.294,0.761,0.856,10.4,937.0,1.04,0.289,0.576,101
egfr_0062,0.384,0.779,0.83,12.0,1059.0,1.0,0.239,0.557,104
egfr_0300,0.524,0.326,0.87,19.2,938.0,1.27,0.299,0.413,76
egfr_0142,0.528,0.441,0.472,20.4,542.0,3.65,0.15,0.305,75
egfr_0086,0.436,0.689,0.788,12.3,915.0,1.94,0.28,0.541,108
egfr_0435,0.215,0.847,0.822,9.2,1107.0,1.02,0.049,0.585,81
egfr_0167,0.613,0.391,0.505,24.9,665.0,3.49,0.17,0.296,79
egfr_0223,0.378,0.596,0.761,12.0,686.0,2.55,0.199,0.398,89
egfr_0325,0.451,0.401,0.858,17.9,1040.0,1.55,0.298,0.502,83
egfr_0121,0.295,0.713,0.844,12.8,850.0,1.74,0.207,0.497,107
egfr_0058,0.399,0.728,0.821,12.8,916.0,1.57,0.214,0.554,106
egfr_0433,0.369,0.814,0.865,10.8,1110.0,0.68,0.042,0.665,87
egfr_0342,0.551,0.441,0.943,21.7,916.0,0.52,0.243,0.513,76
egfr_0027,0.29,0.926,0.902,10.1,1026.0,0.95,0.302,0.675,94
egfr_0185,0.577,0.454,0.47,21.8,826.0,3.92,0.031,0.26,79
egfr_0400,0.308,0.743,0.749,10.4,815.0,1.44,0.274,0.601,60
egfr_0153,0.577,0.405,0.478,25.4,755.0,3.72,0.101,0.193,78
egfr_0462,0.298,0.668,0.898,13.1,867.0,1.16,0.231,0.502,105
egfr_0247,0.451,0.528,0.713,19.2,763.0,2.81,0.178,0.452,89
egfr_0130,0.451,0.724,0.793,12.2,1039.0,2.03,0.311,0.566,103
egfr_0405,0.316,0.633,0.831,14.2,800.0,1.55,0.267,0.521,63
egfr_0391,0.418,0.616,0.87,13.2,520.0,1.26,0.251,0.543,56
egfr_0282,0.305,0.507,0.81,19.8,751.0,2.55,0.205,0.4,88
egfr_0022,0.295,0.85,0.886,8.6,1194.0,1.55,0.32,0.675,92
egfr_0440,0.337,0.813,0.906,5.3,1142.0,1.23,0.118,0.543,90
egfr_0323,0.425,0.344,0.882,26.1,1150.0,1.06,0.201,0.525,76
egfr_0082,0.308,0.728,0.804,13.9,846.0,1.62,0.144,0.489,105
egfr_0166,0.637,0.413,0.529,24.0,569.0,3.1,0.133,0.288,78
egfr_0430,0.228,0.666,0.87,8.8,1013.0,1.07,0.114,0.629,84
egfr_0349,0.579,0.399,0.858,18.4,1106.0,1.12,0.191,0.395,80
egfr_0494,0.415,0.72,0.831,12.9,764.0,1.71,0.284,0.499,97
egfr_0243,0.433,0.555,0.69,14.0,875.0,2.57,0.211,0.406,89
egfr_0107,0.385,0.742,0.83,11.8,1034.0,1.98,0.291,0.539,104
egfr_0341,0.615,0.288,0.899,22.5,1101.0,0.94,0.279,0.463,78
egfr_0267,0.588,0.589,0.732,15.7,754.0,2.02,0.143,0.403,87
egfr_0049,0.183,0.821,0.878,9.3,1151.0,0.69,0.341,0.683,87
egfr_0377,0.377,0.722,0.887,10.7,768.0,1.0,0.238,0.513,56
egfr_0236,0.448,0.466,0.803,15.9,721.0,2.51,0.153,0.444,87
egfr_0102,0.411,0.676,0.854,14.8,875.0,2.03,0.196,0.51,104
egfr_0018,0.16,0.864,0.82,12.6,1078.0,1.27,0.309,0.654,93
egfr_0496,0.393,0.693,0.863,11.6,631.0,1.52,0.211,0.47,102
egfr_0127,0.416,0.707,0.799,15.1,984.0,2.13,0.234,0.574,108
egfr_0227,0.362,0.472,0.773,16.5,872.0,2.97,0.08,0.425,83
egfr_0395,0.373,0.729,0.902,9.6,574.0,0.87,0.279,0.57,53
egfr_0198,0.379,0.513,0.729,16.9,654.0,2.5,0.165,0.376,93
egfr_0499,0.381,0.684,0.841,11.9,872.0,1.76,0.228,0.426,102
egfr_0366,0.34,0.656,0.904,16.1,679.0,0.84,0.209,0.568,55
egfr_0394,0.478,0.603,0.853,15.7,616.0,1.5,0.258,0.553,60
egfr_0063,0.253,0.67,0.762,16.4,993.0,2.08,0.248,0.517,104
egfr_0007,0.107,1,0.907,4.3,1427.0,1.23,0.405,0.812,80
egfr_0196,0.401,0.517,0.704,17.4,645.0,2.67,0.195,0.405,84
egfr_0129,0.286,0.696,0.796,10.4,1029.0,1.74,0.239,0.438,105
egfr_0099,0.355,0.642,0.849,13.7,943.0,1.77,0.222,0.565,105
egfr_0093,0.296,0.739,0.796,15.9,783.0,2.19,0.326,0.447,103
egfr_0241,0.489,0.62,0.661,17.8,612.0,2.69,0.162,0.405,84
egfr_0279,0.501,0.432,0.703,17.4,709.0,2.51,0.181,0.351,84
egfr_0037,0.258,0.786,0.863,8.7,1331.0,0.94,0.39,0.636,91
egfr_0201,0.402,0.557,0.793,16.9,627.0,2.72,0.105,0.31,93
egfr_0398,0.417,0.691,0.835,15.4,605.0,0.84,0.163,0.49,63
egfr_0137,0.624,0.426,0.538,20.4,731.0,3.21,0.182,0.331,78
egfr_0029,0.224,0.87,0.864,8.0,1083.0,1.66,0.35,0.674,94
egfr_0075,0.28,0.829,0.829,17.0,978.0,1.77,0.164,0.553,110
egfr_0385,0.415,0.684,0.887,12.4,797.0,1.35,0.276,0.575,53
egfr_0042,0.214,0.777,0.842,8.0,1052.0,1.46,0.298,0.729,85
egfr_0170,0.506,0.364,0.486,22.5,749.0,4.01,0.076,0.344,81
egfr_0017,0.248,0.81,0.826,9.0,1374.0,1.05,0.303,0.574,89
egfr_0406,0.421,0.671,0.798,12.1,737.0,1.35,0.27,0.581,59
egfr_0357,0.507,0.346,0.874,17.5,1060.0,0.86,0.318,0.552,82
egfr_0238,0.453,0.506,0.76,19.2,942.0,2.97,0.15,0.391,91
egfr_0191,0.506,0.568,0.793,15.5,628.0,2.87,0.18,0.357,87
egfr_0256,0.392,0.577,0.731,17.4,857.0,3.0,0.078,0.35,89
egfr_0483,0.341,0.655,0.837,14.6,989.0,1.33,0.271,0.528,101
egfr_0403,0.431,0.686,0.909,13.1,761.0,0.83,0.289,0.504,61
egfr_0160,0.6,0.421,0.517,26.8,466.0,3.65,0.076,0.276,79
egfr_0216,0.406,0.446,0.802,15.3,698.0,2.4,0.195,0.383,86
egfr_0176,0.588,0.446,0.542,23.6,542.0,2.8,0.149,0.158,80
egfr_0112,0.386,0.697,0.812,13.6,1030.0,1.62,0.207,0.551,108
egfr_0253,0.489,0.557,0.796,17.4,603.0,3.36,0.081,0.431,93
egfr_0008,0.107,0.867,0.909,9.6,1524.0,0.99,0.397,0.722,71
egfr_0451,0.293,0.68,0.848,13.7,857.0,1.24,0.268,0.524,96
egfr_0047,0.198,0.786,0.851,7.1,1355.0,1.61,0.304,0.693,88
egfr_0120,0.264,0.733,0.811,12.9,709.0,1.68,0.314,0.574,110
egfr_0005,0.157,0.92,0.882,3.5,1308.0,0.95,0.447,0.801,74
egfr_0373,0.283,0.537,0.858,14.6,660.0,1.35,0.203,0.457,56
egfr_0225,0.547,0.65,0.784,14.6,860.0,2.75,0.14,0.348,89
egfr_0497,0.4,0.771,0.788,12.3,740.0,1.53,0.288,0.443,105
egfr_0065,0.345,0.714,0.789,14.1,863.0,1.82,0.273,0.515,102
egfr_0471,0.398,0.688,0.884,11.8,881.0,1.02,0.21,0.457,99
egfr_0145,0.493,0.448,0.579,18.2,744.0,4.02,0.176,0.299,82
egfr_0053,0.192,0.791,0.909,10.3,1138.0,1.46,0.274,0.643,88
egfr_0096,0.439,0.784,0.852,13.1,1132.0,1.12,0.308,0.59,104
egfr_0012,0.074,0.868,0.94,9.0,1491.0,0.64,0.458,0.839,74
egfr_0274,0.371,0.508,0.713,17.1,766.0,2.94,0.122,0.349,93
egfr_0026,0.233,0.853,0.941,10.7,1230.0,1.3,0.354,0.668,93
egfr_0078,0.372,0.714,0.834,10.2,946.0,1.82,0.234,0.613,102
egfr_0010,0.173,0.964,0.876,5.7,1231.0,0.97,0.269,0.901,72
egfr_0165,0.591,0.339,0.514,23.5,444.0,3.64,0.139,0.357,82
egfr_0469,0.375,0.655,0.864,16.3,745.0,1.37,0.194,0.43,100
egfr_0252,0.449,0.504,0.774,18.3,871.0,2.99,0.099,0.356,88
egfr_0319,0.558,0.379,0.795,22.1,1056.0,1.23,0.244,0.582,78
egfr_0359,0.494,0.423,0.849,19.0,1098.0,1.27,0.224,0.449,79
egfr_0477,0.306,0.712,0.817,12.4,894.0,0.71,0.28,0.556,98
egfr_0232,0.475,0.607,0.752,18.9,785.0,2.67,0.133,0.404,89
egfr_0317,0.54,0.487,0.801,22.5,1105.0,0.97,0.277,0.515,76
egfr_0234,0.358,0.529,0.787,18.1,728.0,2.75,0.231,0.44,92
egfr_0327,0.427,0.383,0.851,20.0,966.0,1.12,0.314,0.478,80
egfr_0057,0.301,0.724,0.795,9.9,919.0,1.13,0.353,0.482,108
egfr_0149,0.562,0.465,0.539,19.5,530.0,3.31,0.095,0.204,83
egfr_0070,0.341,0.723,0.819,15.0,956.0,2.14,0.187,0.597,105
egfr_0094,0.317,0.704,0.832,12.4,945.0,1.23,0.249,0.504,110
egfr_0036,0.143,0.907,0.891,9.4,1055.0,1.55,0.277,0.61,93
egfr_0437,0.272,0.734,0.915,12.0,1070.0,0.96,0.101,0.468,88
egfr_0097,0.309,0.785,0.784,9.8,1069.0,1.22,0.198,0.58,107
egfr_0212,0.418,0.557,0.768,18.3,675.0,2.86,0.182,0.475,87
egfr_0138,0.533,0.44,0.591,24.9,618.0,3.59,0.104,0.26,85
egfr_0415,0.299,0.664,0.853,13.8,1144.0,0.66,0.128,0.624,90
egfr_0273,0.385,0.6,0.782,16.0,741.0,2.81,0.159,0.439,84
egfr_0381,0.417,0.719,0.822,13.4,670.0,1.3,0.141,0.503,53
egfr_0333,0.373,0.285,0.818,23.0,1112.0,0.99,0.284,0.544,78
egfr_0146,0.512,0.41,0.461,26.4,489.0,4.14,0.093,0.265,85
egfr_0140,0.579,0.451,0.559,25.8,839.0,4.14,0.061,0.24,84
egfr_0351,0.463,0.39,0.886,22.2,1062.0,1.23,0.357,0.532,83
egfr_0356,0.495,0.46,0.903,19.6,973.0,1.2,0.261,0.536,80
egfr_0414,0.231,0.741,0.853,6.7,978.0,0.85,0.174,0.592,90
egfr_0314,0.547,0.379,0.867,21.2,1085.0,0.52,0.282,0.548,80
egfr_0466,0.342,0.614,0.835,12.4,791.0,1.67,0.281,0.392,102
egfr_0410,0.369,0.651,0.867,11.6,605.0,0.96,0.175,0.613,59
egfr_0392,0.247,0.717,0.859,13.1,759.0,0.74,0.248,0.482,63
egfr_0265,0.587,0.619,0.71,17.8,525.0,2.77,0.128,0.342,88
egfr_0123,0.296,0.71,0.816,12.4,892.0,1.14,0.18,0.48,103
egfr_0321,0.49,0.373,0.847,22.7,943.0,1.1,0.293,0.483,83
egfr_0217,0.455,0.576,0.788,20.2,668.0,2.61,0.096,0.383,91
egfr_0041,0.214,0.83,0.902,8.4,899.0,0.78,0.365,0.666,90
egfr_0135,0.602,0.464,0.506,20.7,711.0,3.33,0.189,0.324,75
egfr_0113,0.386,0.761,0.798,10.1,1048.0,1.6,0.229,0.521,106
egfr_0194,0.405,0.533,0.783,19.6,727.0,2.85,0.227,0.419,90
egfr_0425,0.277,0.787,0.871,7.5,1286.0,0.99,0.107,0.619,90
egfr_0200,0.468,0.439,0.796,15.2,800.0,2.86,0.162,0.443,93
egfr_0331,0.49,0.343,0.902,18.5,1091.0,0.68,0.239,0.552,76
egfr_0378,0.279,0.68,0.835,13.6,865.0,1.5,0.242,0.545,59
egfr_0367,0.433,0.611,0.866,13.9,691.0,1.5,0.185,0.471,63
egfr_0084,0.275,0.681,0.852,15.2,875.0,1.79,0.283,0.549,107
egfr_0128,0.293,0.783,0.765,11.4,1103.0,1.03,0.259,0.487,110
egfr_0203,0.46,0.473,0.733,15.3,623.0,2.85,0.223,0.368,87
